# M = 101, N = 21, t_F = 1
# dx = 0.05, dt = 0.01
0.09	0.8	-4.75791e+06
0.09	0.85	720896
0.09	0.9	-52428.8
0.09	0.95	-0.00588263
0.09	1	-0.0534497

0.1	0	-0.049577
0.1	0.05	-209715
0.1	0.1	3.25059e+06
0.1	0.15	-2.42876e+07
0.1	0.2	1.16077e+08
0.1	0.25	-3.97255e+08
0.1	0.3	1.03305e+09
0.1	0.35	-2.11431e+09
0.1	0.4	3.48093e+09
0.1	0.45	-4.67207e+09
0.1	0.5	5.14966e+09
0.1	0.55	-4.67207e+09
0.1	0.6	3.48093e+09
0.1	0.65	-2.11431e+09
0.1	0.7	1.03305e+09
0.1	0.75	-3.97255e+08
0.1	0.8	1.16077e+08
0.1	0.85	-2.42876e+07
0.1	0.9	3.25059e+06
0.1	0.95	-209715
0.1	1	-0.049577

0.11	0	-0.0459323
0.11	0.05	1.44703e+07
0.11	0.1	-1.20744e+08
0.11	0.15	6.47325e+08
0.11	0.2	-2.49871e+09
0.11	0.25	7.37728e+09
0.11	0.3	-1.72776e+10
0.11	0.35	3.28561e+10
0.11	0.4	-5.1512e+10
0.11	0.45	6.72268e+10
0.11	0.5	-7.34241e+10
0.11	0.55	6.72268e+10
0.11	0.6	-5.1512e+10
0.11	0.65	3.28561e+10
0.11	0.7	-1.72776e+10
0.11	0.75	7.37728e+09
0.11	0.8	-2.49871e+09
0.11	0.85	6.47325e+08
0.11	0.9	-1.20744e+08
0.11	0.95	1.44703e+07
0.11	1	-0.0459323

0.12	0	-0.042525
0.12	0.05	-5.84267e+08
0.12	0.1	3.49239e+09
0.12	0.15	-1.50091e+10
0.12	0.2	4.95894e+10
0.12	0.25	-1.30746e+11
0.12	0.3	2.81876e+11
0.12	0.35	-5.05151e+11
0.12	0.4	7.60915e+11
0.12	0.45	-9.70332e+11
0.12	0.5	1.05178e+12
0.12	0.55	-9.70332e+11
0.12	0.6	7.60915e+11
0.12	0.65	-5.05151e+11
0.12	0.7	2.81876e+11
0.12	0.75	-1.30746e+11
0.12	0.8	4.95894e+10
0.12	0.85	-1.50091e+10
0.12	0.9	3.49239e+09
0.12	0.95	-5.84267e+08
0.12	1	-0.042525

0.13	0	-0.0393527
0.13	0.05	1.80594e+10
0.13	0.1	-8.68202e+10
0.13	0.15	3.17391e+11
0.13	0.2	-9.30147e+11
0.13	0.25	2.24109e+12
0.13	0.3	-4.51672e+12
0.13	0.35	7.70722e+12
0.13	0.4	-1.12283e+13
0.13	0.45	1.40431e+13
0.13	0.5	-1.51251e+13
0.13	0.55	1.40431e+13
0.13	0.6	-1.12283e+13
0.13	0.65	7.70722e+12
0.13	0.7	-4.51672e+12
0.13	0.75	2.24109e+12
0.13	0.8	-9.30147e+11
0.13	0.85	3.17391e+11
0.13	0.9	-8.68202e+10
0.13	0.95	1.80594e+10
0.13	1	-0.0393527

0.14	0	-0.0364068
0.14	0.05	-4.73697e+11
0.14	0.1	1.94954e+12
0.14	0.15	-6.2896e+12
0.14	0.2	1.67449e+13
0.14	0.25	-3.74751e+13
0.14	0.3	7.14103e+13
0.14	0.35	-1.16931e+14
0.14	0.4	1.656e+14
0.14	0.45	-2.03716e+14
0.14	0.5	2.18221e+14
0.14	0.55	-2.03716e+14
0.14	0.6	1.656e+14
0.14	0.65	-1.16931e+14
0.14	0.7	7.14103e+13
0.14	0.75	-3.74751e+13
0.14	0.8	1.67449e+13
0.14	0.85	-6.2896e+12
0.14	0.9	1.94954e+12
0.14	0.95	-4.73697e+11
0.14	1	-0.0364068

0.15	0	-0.0336755
0.15	0.05	1.1114e+13
0.15	0.1	-4.07e+13
0.15	0.15	1.18805e+14
0.15	0.2	-2.92273e+14
0.15	0.25	6.14947e+14
0.15	0.3	-1.1175e+15
0.15	0.35	1.76656e+15
0.15	0.4	-2.44178e+15
0.15	0.45	2.96129e+15
0.15	0.5	-3.15727e+15
0.15	0.55	2.96129e+15
0.15	0.6	-2.44178e+15
0.15	0.65	1.76656e+15
0.15	0.7	-1.1175e+15
0.15	0.75	6.14947e+14
0.15	0.8	-2.92273e+14
0.15	0.85	1.18805e+14
0.15	0.9	-4.07e+13
0.15	0.95	1.1114e+13
0.15	1	-0.0336755

0.16	0	-0.0311457
0.16	0.05	-2.40598e+14
0.16	0.1	8.04577e+14
0.16	0.15	-2.16353e+15
0.16	0.2	4.98092e+15
0.16	0.25	-9.9437e+15
0.16	0.3	1.73485e+16
0.16	0.35	-2.6603e+16
0.16	0.4	3.60039e+16
0.16	0.45	-4.31253e+16
0.16	0.5	4.57913e+16
0.16	0.55	-4.31253e+16
0.16	0.6	3.60039e+16
0.16	0.65	-2.6603e+16
0.16	0.7	1.73485e+16
