# M = 101, N = 21, t_F = 1
# dx = 0.05, dt = 0.01
0	0	0
0	0.05	0.1
0	0.1	0.2
0	0.15	0.3
0	0.2	0.4
0	0.25	0.5
0	0.3	0.6
0	0.35	0.7
0	0.4	0.8
0	0.45	0.9
0	0.5	1
0	0.55	0.9
0	0.6	0.8
0	0.65	0.7
0	0.7	0.6
0	0.75	0.5
0	0.8	0.4
0	0.85	0.3
0	0.9	0.2
0	0.95	0.1
0	1	0

0.01	0	0.0600989
0.01	0.05	0.135223
0.01	0.1	0.219152
0.01	0.15	0.307869
0.01	0.2	0.398554
0.01	0.25	0.488877
0.01	0.3	0.576419
0.01	0.35	0.658065
0.01	0.4	0.729228
0.01	0.45	0.782698
0.01	0.5	0.806843
0.01	0.55	0.782698
0.01	0.6	0.729228
0.01	0.65	0.658065
0.01	0.7	0.576419
0.01	0.75	0.488877
0.01	0.8	0.398554
0.01	0.85	0.307869
0.01	0.9	0.219152
0.01	0.95	0.135223
0.01	1	0.0600989

0.02	0	0.0725879
0.02	0.05	0.148298
0.02	0.1	0.227277
0.02	0.15	0.308288
0.02	0.2	0.389403
0.02	0.25	0.46823
0.02	0.3	0.541896
0.02	0.35	0.606931
0.02	0.4	0.659183
0.02	0.45	0.693923
0.02	0.5	0.70647
0.02	0.55	0.693923
0.02	0.6	0.659183
0.02	0.65	0.606931
0.02	0.7	0.541896
0.02	0.75	0.46823
0.02	0.8	0.389403
0.02	0.85	0.308288
0.02	0.9	0.227277
0.02	0.95	0.148298
0.02	1	0.0725879

0.03	0	0.0746338
0.03	0.05	0.149779
0.03	0.1	0.225295
0.03	0.15	0.300315
0.03	0.2	0.373341
0.03	0.25	0.442352
0.03	0.3	0.504894
0.03	0.35	0.558185
0.03	0.4	0.599289
0.03	0.45	0.625421
0.03	0.5	0.634426
0.03	0.55	0.625421
0.03	0.6	0.599289
0.03	0.65	0.558185
0.03	0.7	0.504894
0.03	0.75	0.442352
0.03	0.8	0.373341
0.03	0.85	0.300315
0.03	0.9	0.225295
0.03	0.95	0.149779
0.03	1	0.0746338

0.04	0	0.0730402
0.04	0.05	0.145682
0.04	0.1	0.2173
0.04	0.15	0.286919
0.04	0.2	0.353188
0.04	0.25	0.41442
0.04	0.3	0.468669
0.04	0.35	0.513861
0.04	0.4	0.547973
0.04	0.45	0.569255
0.04	0.5	0.576497
0.04	0.55	0.569255
0.04	0.6	0.547973
0.04	0.65	0.513861
0.04	0.7	0.468669
0.04	0.75	0.41442
0.04	0.8	0.353188
0.04	0.85	0.286919
0.04	0.9	0.2173
0.04	0.95	0.145682
0.04	1	0.0730402

0.05	0	0.0698348
0.05	0.05	0.138868
0.05	0.1	0.206198
0.05	0.15	0.270753
0.05	0.2	0.331266
0.05	0.25	0.386298
0.05	0.3	0.434299
0.05	0.35	0.473709
0.05	0.4	0.50308
0.05	0.45	0.521228
0.05	0.5	0.527369
